Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e4 | instruction:02812423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0e8 | instruction:03010413 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:0ec | instruction:fca42e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
